ime,zvrst in število epizod,čas nastajanja,število uporabnikov,ocena
Quanzhi Gaoshou 2,ONA (12 eps),Sep 2020 - Dec 2020,"120,217",7.93
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",Special (1 eps),Jul 2008 - Jul 2008,"307,461",7.93
Full Moon wo Sagashite,TV (52 eps),Apr 2002 - Mar 2003,"111,109",7.93
Hidamari Sketch x Honeycomb,TV (12 eps),Oct 2012 - Dec 2012,"24,488",7.93
Bungou Stray Dogs: Dead Apple,Movie (1 eps),Mar 2018 - Mar 2018,"286,579",7.92
Douluo Dalu,ONA (26 eps),Jan 2018 - Jul 2018,"29,513",7.92
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,Movie (1 eps),Aug 2017 - Aug 2017,"98,208",7.92
Full Metal Panic! The Second Raid,TV (13 eps),Jul 2005 - Oct 2005,"263,005",7.92
Gochuumon wa Usagi desu ka? Bloom,TV (12 eps),Oct 2020 - Dec 2020,"65,662",7.92
Hanamonogatari,TV Special (5 eps),Aug 2014 - Aug 2014,"431,806",7.92
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,TV (26 eps),Oct 2005 - Mar 2006,"105,655",7.92
Usagi Drop Specials,Special (4 eps),Oct 2011 - Jan 2012,"71,353",7.92
Kidou Senshi Gundam: Suisei no Majo Season 2,TV (12 eps),Apr 2023 - Jul 2023,"91,258",7.92
Kimi to Boku. 2,TV (13 eps),Apr 2012 - Jun 2012,"89,509",7.92
Kokoro Connect: Michi Random,Special (4 eps),Nov 2012 - Dec 2012,"261,928",7.92
Nekomonogatari: Kuro,TV Special (4 eps),Dec 2012 - Dec 2012,"559,375",7.92
Overlord III,TV (13 eps),Jul 2018 - Oct 2018,"922,782",7.92
Log Horizon,TV (25 eps),Oct 2013 - Mar 2014,"1,126,287",7.91
Love Live! The School Idol Movie,Movie (1 eps),Jun 2015 - Jun 2015,"132,230",7.91
Overlord,TV (13 eps),Jul 2015 - Sep 2015,"1,616,408",7.91
Plastic Memories,TV (13 eps),Apr 2015 - Jun 2015,"956,396",7.91
Promare,Movie (1 eps),May 2019 - May 2019,"283,973",7.91
Benghuai: Xing Qiong Tiedao - Gelamo de Yujin,ONA (1 eps),Jun 2024 - Jun 2024,"1,093",7.91
Cike Wu Liuqi,ONA (10 eps),Apr 2018 - Jun 2018,"108,055",7.91
City Hunter,TV (51 eps),Apr 1987 - Mar 1988,"82,737",7.91
Darker than Black: Kuro no Keiyakusha Gaiden,Special (4 eps),Jan 2010 - Jul 2010,"259,331",7.91
Eyeshield 21,TV (145 eps),Apr 2005 - Mar 2008,"185,466",7.91
Initial D Third Stage,Movie (1 eps),Jan 2001 - Jan 2001,"185,826",7.91
Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,Movie (1 eps),Jun 2015 - Jun 2015,"135,653",7.91
Takarajima,TV (26 eps),Oct 1978 - Apr 1979,"21,321",7.91
Tamako Love Story,Movie (1 eps),Apr 2014 - Apr 2014,"394,370",7.91
Tokyo Revengers,TV (24 eps),Apr 2021 - Sep 2021,"1,274,467",7.91
Trigun: Badlands Rumble,Movie (1 eps),Apr 2010 - Apr 2010,"144,834",7.91
Yakitate!! Japan,TV (69 eps),Oct 2004 - Mar 2006,"99,382",7.91
Yuru Yuri San☆Hai!,TV (12 eps),Oct 2015 - Dec 2015,"126,381",7.91
SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,OVA (1 eps),Feb 2013 - Feb 2013,"21,897",7.90
Vanitas no Karte,TV (12 eps),Jul 2021 - Sep 2021,"546,239",7.90
Yuanshen: Weixing zhi Lu,ONA (1 eps),May 2024 - May 2024,"2,163",7.90
Yuri!!! on Ice,TV (12 eps),Oct 2016 - Dec 2016,"897,282",7.90
Zetsuen no Tempest,TV (24 eps),Oct 2012 - Mar 2013,"602,519",7.90
Kaleido Star,TV (51 eps),Apr 2003 - Mar 2004,"86,986",7.90
Kingdom,TV (38 eps),Jun 2012 - Feb 2013,"225,047",7.90
Kuuchuu Buranko,TV (11 eps),Oct 2009 - Dec 2009,"95,536",7.90
Les Misérables: Shoujo Cosette,TV (52 eps),Jan 2007 - Dec 2007,"30,520",7.90
Meitantei Conan OVA 09: 10-nengo no Stranger,OVA (1 eps),Jun 2009 - Jun 2009,"21,379",7.90
"Natsu e no Tunnel, Sayonara no Deguchi",Movie (1 eps),Sep 2022 - Sep 2022,"161,550",7.90
Ore Monogatari!!,TV (24 eps),Apr 2015 - Sep 2015,"684,152",7.90
BanG Dream! Movie: Poppin&#039; Dream!,Movie (1 eps),Jan 2022 - Jan 2022,"9,997",7.90
Bishoujo Senshi Sailor Moon S,TV (38 eps),Mar 1994 - Feb 1995,"149,537",7.90
Code Geass: Fukkatsu no Lelouch,Movie (1 eps),Feb 2019 - Feb 2019,"319,991",7.90
Date A Live II: Kurumi Star Festival,OVA (1 eps),Dec 2014 - Dec 2014,"188,979",7.90
Densetsu Kyojin Ideon: Hatsudou-hen,Movie (1 eps),Jul 1982 - Jul 1982,"10,821",7.90
Ergo Proxy,TV (23 eps),Feb 2006 - Aug 2006,"658,605",7.90
Gakuen Babysitters,TV (12 eps),Jan 2018 - Mar 2018,"346,593",7.90
Hanasaku Iroha,TV (26 eps),Apr 2011 - Sep 2011,"333,874",7.90
Hidamari Sketch x ☆☆☆,TV (12 eps),Jan 2010 - Mar 2010,"28,627",7.90
Berserk: Ougon Jidai-hen - Memorial Edition,TV (13 eps),Oct 2022 - Dec 2022,"42,750",7.89
Boku no Hero Academia 7th Season,TV (21 eps),May 2024 -,"275,647",7.89
Drifters,TV (12 eps),Oct 2016 - Dec 2016,"575,752",7.89
Final Fantasy VII: Advent Children Complete,OVA (1 eps),Apr 2009 - Apr 2009,"133,627",7.89
Ie Naki Ko Remy,TV (23 eps),Sep 1996 - Mar 1997,"21,446",7.89
Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,Movie (1 eps),Jan 2018 - Jan 2018,"73,584",7.89
Shirokuma Cafe,TV (50 eps),Apr 2012 - Mar 2013,"96,109",7.89
Summer Ghost,Movie (1 eps),Nov 2021 - Nov 2021,"114,036",7.89
Ushio to Tora (TV) 2nd Season,TV (13 eps),Apr 2016 - Jun 2016,"133,967",7.89
Yagate Kimi ni Naru,TV (13 eps),Oct 2018 - Dec 2018,"347,705",7.89
Yuzuki-san Chi no Yonkyoudai.,TV (12 eps),Oct 2023 - Dec 2023,"57,114",7.89
Zoku Sayonara Zetsubou Sensei,TV (13 eps),Jan 2008 - Mar 2008,"133,935",7.89
Jormungand: Perfect Order,TV (12 eps),Oct 2012 - Dec 2012,"195,286",7.89
Karigurashi no Arrietty,Movie (1 eps),Jul 2010 - Jul 2010,"359,066",7.89
Kuroshitsuji: Kishuku Gakkou-hen,TV (11 eps),Apr 2024 - Jun 2024,"76,217",7.89
Lupin III (2015),TV (24 eps),Oct 2015 - Mar 2016,"72,309",7.89
Macross,TV (36 eps),Oct 1982 - Jun 1983,"112,411",7.89
Mahoutsukai no Yome Season 2 Part 2,TV (12 eps),Oct 2023 - Dec 2023,"94,314",7.89
Sakigake!! Cromartie Koukou,TV (26 eps),Oct 2003 - Mar 2004,"141,198",7.89
School Rumble,TV (26 eps),Oct 2004 - Mar 2005,"330,615",7.89
JoJo no Kimyou na Bouken (TV),TV (26 eps),Oct 2012 - Apr 2013,"1,687,831",7.88
Kidou Senshi Zeta Gundam,TV (50 eps),Mar 1985 - Feb 1986,"77,258",7.88
Macross F,TV (25 eps),Apr 2008 - Sep 2008,"148,327",7.88
Megalo Box,TV (13 eps),Apr 2018 - Jun 2018,"514,401",7.88
Meitantei Conan Movie 02: 14-banme no Target,Movie (1 eps),Apr 1998 - Apr 1998,"65,225",7.88
One Piece Film: Gold,Movie (1 eps),Jul 2016 - Jul 2016,"224,742",7.88
Saiunkoku Monogatari,TV (39 eps),Apr 2006 - Feb 2007,"98,387",7.88
Aishang Ta de Liyou Extra,ONA (1 eps),Feb 2024 - Feb 2024,"4,119",7.88
Aria the Avvenire,Special (3 eps),Sep 2015 - Sep 2015,"28,511",7.88
BanG Dream! Film Live 2nd Stage,Movie (1 eps),Aug 2021 - Aug 2021,"7,872",7.88
Code Geass: Hangyaku no Lelouch I - Koudou,Movie (1 eps),Oct 2017 - Oct 2017,"104,141",7.88
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,Movie (1 eps),Apr 2001 - Apr 2001,"10,966",7.88
Death Billiards,Movie (1 eps),Mar 2013 - Mar 2013,"241,774",7.88
Free! Eternal Summer: Kindan no All Hard!,Special (1 eps),Mar 2015 - Mar 2015,"94,795",7.88
Ginga Sengoku Gunyuuden Rai,TV (52 eps),Apr 1994 - Mar 1995,"16,341",7.88
Golden Kamuy,TV (12 eps),Apr 2018 - Jun 2018,"399,520",7.88
Higurashi no Naku Koro ni,TV (26 eps),Apr 2006 - Sep 2006,"812,790",7.88
Hoozuki no Reitetsu 2nd Season,TV (13 eps),Oct 2017 - Dec 2017,"48,042",7.88
Jigoku Shoujo Futakomori,TV (26 eps),Oct 2006 - Apr 2007,"163,507",7.88
Shijou Saikyou no Deshi Kenichi OVA,OVA (11 eps),Mar 2012 - May 2014,"58,192",7.88
Shingeki no Kyojin OVA,OVA (3 eps),Dec 2013 - Aug 2014,"471,686",7.88
Space☆Dandy,TV (13 eps),Jan 2014 - Mar 2014,"361,208",7.88
Tennis no Oujisama: Zenkoku Taikai-hen,OVA (13 eps),Mar 2006 - Mar 2007,"47,007",7.88
Tennis no Oujisama: Zenkoku Taikai-hen - Semifinal,OVA (6 eps),Jun 2007 - Jan 2008,"37,877",7.88
Undead Girl Murder Farce,TV (13 eps),Jul 2023 - Sep 2023,"149,836",7.88
Terra e... (TV),TV (24 eps),Apr 2007 - Sep 2007,"62,808",7.87
Wu Shan Wu Xing (2020),ONA (3 eps),Jul 2020 - Aug 2020,"62,160",7.87
Kami nomi zo Shiru Sekai II,TV (12 eps),Apr 2011 - Jun 2011,"393,698",7.87
Kidou Senshi Gundam: Suisei no Majo - Prologue,Special (1 eps),Jul 2022 - Jul 2022,"47,644",7.87
Kotonoha no Niwa,Movie (1 eps),May 2013 - May 2013,"874,315",7.87
New Initial D Movie: Legend 3 - Mugen,Movie (1 eps),Feb 2016 - Feb 2016,"28,889",7.87
Ookiku Furikabutte,TV (25 eps),Apr 2007 - Sep 2007,"101,664",7.87
Osomatsu-san Movie,Movie (1 eps),Mar 2019 - Mar 2019,"15,515",7.87
Quanzhi Gaoshou,ONA (12 eps),Apr 2017 - Jun 2017,"372,635",7.87
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Movie (1 eps),Jun 2012 - Jun 2012,"217,134",7.87
Boku no Hero Academia 4th Season,TV (25 eps),Oct 2019 - Apr 2020,"1,751,034",7.87
Carnival Phantasm,OVA (12 eps),Aug 2011 - Dec 2011,"199,523",7.87
ef: A Tale of Memories.,TV (12 eps),Oct 2007 - Dec 2007,"258,123",7.87
Fanren Xiu Xian Chuan 2nd Season,ONA (51 eps),Nov 2021 - Oct 2022,"3,066",7.87
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,Movie (1 eps),Feb 1988 - Feb 1988,"40,167",7.87
Aishang Ta de Liyou,ONA (22 eps),Apr 2023 - Jun 2023,"31,327",7.86
Boku no Hero Academia,TV (13 eps),Apr 2016 - Jun 2016,"3,060,854",7.86
Cool Doji Danshi,TV (24 eps),Oct 2022 - Mar 2023,"94,823",7.86
High☆Speed! Movie: Free! Starting Days,Movie (1 eps),Dec 2015 - Dec 2015,"94,301",7.86
Ie Naki Ko,TV (51 eps),Oct 1977 - Oct 1978,"16,651",7.86
InuYasha,TV (167 eps),Oct 2000 - Sep 2004,"807,180",7.86
Tonikaku Kawaii,TV (12 eps),Oct 2020 - Dec 2020,"756,055",7.86
Urusei Yatsura (2022) 2nd Season,TV (23 eps),Jan 2024 - Jun 2024,"44,410",7.86
Zan Sayonara Zetsubou Sensei,TV (13 eps),Jul 2009 - Sep 2009,"108,819",7.86
K-On!,TV (13 eps),Apr 2009 - Jun 2009,"1,063,177",7.86
Kidou Senshi Gundam: Suisei no Majo,TV (12 eps),Oct 2022 - Jan 2023,"159,401",7.86
"Komi-san wa, Comyushou desu.",TV (12 eps),Oct 2021 - Dec 2021,"902,793",7.86
Lupin the IIIrd: Chikemuri no Ishikawa Goemon,Movie (1 eps),Feb 2017 - Feb 2017,"41,281",7.86
Magic Kaito 1412,TV (24 eps),Oct 2014 - Mar 2015,"126,884",7.86
Mahou Shoujo Lyrical Nanoha: The Movie 1st,Movie (1 eps),Jan 2010 - Jan 2010,"31,911",7.86
Meitantei Conan Movie 01: Tokei Jikake no Matenrou,Movie (1 eps),Apr 1997 - Apr 1997,"73,479",7.86
Meitantei Conan Movie 23: Konjou no Fist,Movie (1 eps),Apr 2019 - Apr 2019,"30,442",7.86
Non Non Biyori Repeat: Hotaru ga Tanoshinda,OVA (1 eps),Sep 2016 - Sep 2016,"50,537",7.86
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,TV Special (1 eps),Aug 2017 - Aug 2017,"42,869",7.86
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,OVA (1 eps),Apr 2009 - Apr 2009,"173,597",7.86
Paradise Kiss,TV (12 eps),Oct 2005 - Dec 2005,"232,532",7.86
K-On!!: Keikaku!,Special (1 eps),Mar 2011 - Mar 2011,"127,851",7.85
Lupin III vs. Meitantei Conan: The Movie,Movie (1 eps),Dec 2013 - Dec 2013,"33,429",7.85
Machikado Mazoku: 2-choume,TV (12 eps),Apr 2022 - Jul 2022,"69,308",7.85
Meitantei Conan Movie 22: Zero no Shikkounin,Movie (1 eps),Apr 2018 - Apr 2018,"31,892",7.85
Noragami Aragoto OVA,OVA (2 eps),Nov 2015 - Mar 2016,"261,751",7.85
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,TV Special (1 eps),Aug 2014 - Aug 2014,"95,181",7.85
Sayonara Zetsubou Sensei,TV (12 eps),Jul 2007 - Sep 2007,"348,681",7.85
Seitokai Yakuindomo* OVA,OVA (10 eps),May 2014 - Sep 2020,"80,812",7.85
Sekaiichi Hatsukoi OVA,OVA (2 eps),Mar 2011 - Sep 2011,"71,914",7.85
Beelzebub,TV (60 eps),Jan 2011 - Mar 2012,"601,999",7.85
Carole &amp; Tuesday,TV (24 eps),Apr 2019 - Oct 2019,"331,939",7.85
Doupo Cangqiong 3rd Season,ONA (12 eps),Jul 2019 - Sep 2019,"9,026",7.85
Heartcatch Precure!,TV (49 eps),Feb 2010 - Jan 2011,"33,572",7.85
Hoozuki no Reitetsu 2nd Season: Sono Ni,TV (13 eps),Apr 2018 - Jul 2018,"29,775",7.85
Soul Eater,TV (51 eps),Apr 2008 - Mar 2009,"1,644,731",7.85
Tennis no Oujisama,TV (178 eps),Oct 2001 - Mar 2005,"186,571",7.85
Tensei shitara Slime Datta Ken 3rd Season,TV (24 eps),Apr 2024 -,"315,031",7.85
Top wo Nerae! Gunbuster,OVA (6 eps),Oct 1988 - Jul 1989,"131,748",7.85
Wu Dong Qian Kun 3rd Season,ONA (12 eps),May 2022 - Jul 2022,"4,054",7.85
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,TV (12 eps),Jul 2017 - Sep 2017,"1,299,527",7.85
Yuru Yuri Nachuyachumi!,OVA (1 eps),Feb 2015 - Feb 2015,"74,658",7.85
Tiger &amp; Bunny,TV (25 eps),Apr 2011 - Sep 2011,"229,237",7.84
Tokyo Revengers: Tenjiku-hen,TV (13 eps),Oct 2023 - Dec 2023,"195,994",7.84
Tteotda Keunyeo!!,ONA (5 eps),Apr 2003 - Dec 2008,"25,057",7.84
Umibe no Étranger,Movie (1 eps),Sep 2020 - Sep 2020,"180,159",7.84
Urusei Yatsura 2: Beautiful Dreamer,Movie (1 eps),Feb 1984 - Feb 1984,"21,330",7.84
Yume-iro Pâtissière,TV (50 eps),Oct 2009 - Sep 2010,"84,308",7.84
K-On!: Live House!,Special (1 eps),Jan 2010 - Jan 2010,"163,120",7.84
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,OVA (1 eps),Dec 2005 - Dec 2005,"14,783",7.84
Magi: Sinbad no Bouken (TV),TV (13 eps),Apr 2016 - Jul 2016,"486,146",7.84
Musekinin Kanchou Tylor,TV (26 eps),Jan 1993 - Jul 1993,"50,871",7.84
