ime,zvrst in število epizod,čas nastajanja,število uporabnikov,ocena
&quot;Oshi no Ko&quot;,TV (11 eps),Apr 2023 - Jun 2023,"829,459",8.63
Death Note,TV (37 eps),Oct 2006 - Jun 2007,"3,952,098",8.62
Haikyuu!! Second Season,TV (25 eps),Oct 2015 - Mar 2016,"1,451,292",8.62
Ping Pong the Animation,TV (11 eps),Apr 2014 - Jun 2014,"399,959",8.62
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie (1 eps),Jan 2020 - Jan 2020,"473,470",8.61
Natsume Yuujinchou Roku,TV (11 eps),Apr 2017 - Jun 2017,"188,837",8.61
Dungeon Meshi,TV (24 eps),Jan 2024 - Jun 2024,"330,223",8.61
Cyberpunk: Edgerunners,ONA (10 eps),Sep 2022 - Sep 2022,"784,085",8.60
Hajime no Ippo: Rising,TV (25 eps),Oct 2013 - Mar 2014,"265,268",8.60
Suzumiya Haruhi no Shoushitsu,Movie (1 eps),Feb 2010 - Feb 2010,"615,569",8.60
Shin Evangelion Movie:||,Movie (1 eps),Mar 2021 - Mar 2021,"381,637",8.59
Jujutsu Kaisen,TV (24 eps),Oct 2020 - Mar 2021,"2,612,963",8.59
Kenpuu Denki Berserk,TV (25 eps),Oct 1997 - Apr 1998,"674,774",8.59
Mushishi Zoku Shou: Suzu no Shizuku,Movie (1 eps),May 2015 - May 2015,"130,563",8.59
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie (1 eps),Jun 2019 - Jun 2019,"723,981",8.59
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie (1 eps),Oct 2020 - Oct 2020,"1,577,039",8.58
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie (1 eps),Apr 2009 - Apr 2009,"219,970",8.58
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV (39 eps),Oct 2018 - Jul 2019,"1,043,257",8.57
Kizumonogatari II: Nekketsu-hen,Movie (1 eps),Aug 2016 - Aug 2016,"451,792",8.57
Look Back,Movie (1 eps),Jun 2024 - Jun 2024,"38,145",8.57
Natsume Yuujinchou San,TV (13 eps),Jul 2011 - Sep 2011,"255,476",8.57
Ookami Kodomo no Ame to Yuki,Movie (1 eps),Jul 2012 - Jul 2012,"821,619",8.57
Nana,TV (47 eps),Apr 2006 - Mar 2007,"685,384",8.56
Natsume Yuujinchou Go,TV (11 eps),Oct 2016 - Dec 2016,"189,184",8.56
Doupo Cangqiong: San Nian Zhi Yue,ONA (13 eps),Oct 2021 - Jan 2022,"7,696",8.56
Shouwa Genroku Rakugo Shinjuu,TV (13 eps),Jan 2016 - Apr 2016,"294,533",8.56
Shingeki no Kyojin,TV (25 eps),Apr 2013 - Sep 2013,"3,998,676",8.55
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Movie (1 eps),Jul 1997 - Jul 1997,"946,596",8.55
Slam Dunk,TV (101 eps),Oct 1993 - Mar 1996,"306,054",8.55
Yojouhan Shinwa Taikei,TV (11 eps),Apr 2010 - Jul 2010,"457,053",8.55
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA (14 eps),Dec 2022 - Dec 2022,"214,704",8.55
Kimi no Suizou wo Tabetai,Movie (1 eps),Sep 2018 - Sep 2018,"986,146",8.55
Haikyuu!! To the Top Part 2,TV (12 eps),Oct 2020 - Dec 2020,"834,066",8.55
Fate/Zero 2nd Season,TV (12 eps),Apr 2012 - Jun 2012,"1,127,607",8.54
Fruits Basket 2nd Season,TV (25 eps),Apr 2020 - Sep 2020,"522,306",8.54
Zoku Natsume Yuujinchou,TV (13 eps),Jan 2009 - Mar 2009,"250,753",8.54
